SKU;ABC Class;XYZ Class;Average Unit Cost;Stock Cost;Order Cost;Total Cost;Total Ordered Units;Total Demand;Total Stockout;Stockout Rate;Alpha Service Level;Beta Service Level;Average Inventory Level;Average Daily Demand;Stock Coverage (days);Stockout Days;Total Days
AARC08EBQ;C;Z;7,29;49,6;20004,02;20053,62;2688,0;1968,0;0,0;0,0;100,0;100,0;636,91;9,94;64,08;0;198
ABQX30YRP;C;Y;6,28;36,9;20157,51;20194,41;3136,0;2432,0;0,0;0,0;100,0;100,0;554,02;12,28;45,11;0;198
ABTN33UXC;B;X;1,4;30,96;45270,1;45301,06;29180,0;36976,0;8002,0;21,64;91,41;78,36;2182,71;186,75;11,69;17;198
ABYM76DAT;C;Z;3,84;7,51;10052,69;10060,19;2520,0;1760,0;0,0;0,0;100,0;100,0;189,09;8,89;21,27;0;198
ABZC45IMI;B;Z;4,4;101,07;368907,35;369008,43;81000,0;30052,0;2140,0;7,12;96,97;92,88;2256,16;151,78;14,86;6;198
ABZO08CDK;B;X;3,16;94,56;180171,27;180265,82;54400,0;46390,0;0,0;0,0;100,0;100,0;2990,61;234,29;12,76;0;198
ACFI41GPC;C;X;3,57;13,94;15568,94;15582,88;4180,0;3372,5;0,0;0,0;100,0;100,0;376,59;17,03;22,11;0;198
ACQO46NVK;C;Z;9,58;168,46;91098,39;91266,85;9360,0;9185,0;30,0;0,33;99,49;99,67;1666,62;46,39;35,93;1;198
ACQX88XCS;C;Z;3,01;31,77;0,0;31,77;0,0;17687,5;5850,0;33,07;95,45;66,93;1033,33;89,33;11,57;9;198
ACSA76DHG;A;Y;1,79;55,67;110619,37;110675,04;57132,0;59725,0;0,0;0,0;100,0;100,0;3174,27;301,64;10,52;0;198
ADML95JEA;C;Z;43,16;45,1;118144,97;118190,07;2728,0;3776,0;2208,0;58,47;97,47;41,53;104,24;19,07;5,47;5;198
ADRC82WLA;C;Y;11,4;48,79;56938,65;56987,44;4928,0;3836,0;288,0;7,51;97,47;92,49;412,24;19,37;21,28;5;198
AEYW04EAS;A;X;4,0;846,47;370908,8;371755,27;89280,0;74736,0;0,0;0,0;100,0;100,0;19860,91;377,45;52,62;0;198
AFJX14TPC;A;X;0,43;53,65;216561,81;216615,46;372960,0;302100,0;0,0;0,0;100,0;100,0;13007,27;1525,76;8,53;0;198
