Policy;Simulation;Stock Cost;Order Total Cost;Total Cost;Stock Out Rate (%);Alpha Service Level (%);Beta Service Level (%);Average Inventory Level;Stock Coverage (days);Total Demand;Total Stockout;Total SOH;Stockout Days;Total Days
Smin-Smax Policy;1;94973,0;123123330,08;123218303,08;0,35;99,73;99,65;5109,92;11,99;105252763,0;367685,0;1261669066,0;669;246906
Smin-Smax Policy;2;95395,47;123123330,08;123218725,55;0,41;99,71;99,59;5111,85;11,99;105252763,0;426901,0;1262145848,0;712;246906
Smin-Smax Policy;3;95801,8;123123330,08;123219131,88;0,39;99,7;99,61;5122,99;12,02;105252763,0;406294,0;1264897738,0;751;246906
Smin-Smax Policy;4;96780,28;123123330,08;123220110,36;0,42;99,71;99,58;5132,54;12,04;105252763,0;446890,0;1267254610,0;707;246906
Smin-Smax Policy;5;94735,98;123123330,08;123218066,06;0,4;99,7;99,6;5123,91;12,02;105252763,0;423177,0;1265125109,0;736;246906
Smin-Smax Policy;6;95101,67;123123330,08;123218431,75;0,44;99,7;99,56;5149,41;12,08;105252763,0;459728,0;1271420893,0;736;246906
Smin-Smax Policy;7;94831,07;123123330,08;123218161,15;0,39;99,69;99,61;5061,64;11,87;105252763,0;415420,0;1249748355,0;770;246906
Smin-Smax Policy;8;95624,69;123123330,08;123218954,77;0,37;99,72;99,63;5117,52;12,0;105252763,0;394268,0;1263547185,0;680;246906
Smin-Smax Policy;9;94893,91;123123330,08;123218223,99;0,4;99,71;99,6;5117,09;12,0;105252763,0;417662,0;1263440307,0;727;246906
Smin-Smax Policy;10;98300,04;123123330,08;123221630,12;0,46;99,7;99,54;5212,02;12,23;105252763,0;488545,0;1286879172,0;742;246906
Smin-Smax Policy;11;95363,44;123123330,08;123218693,52;0,35;99,7;99,65;5121,21;12,01;105252763,0;373154,0;1264456722,0;733;246906
Smin-Smax Policy;12;93804,32;123123330,08;123217134,4;0,48;99,72;99,52;5142,34;12,06;105252763,0;505458,0;1269675785,0;698;246906
Smin-Smax Policy;13;96894,81;123123330,08;123220224,89;0,41;99,71;99,59;5150,38;12,08;105252763,0;426796,0;1271659382,0;722;246906
Smin-Smax Policy;14;95561,83;123123330,08;123218891,91;0,5;99,68;99,5;5162,59;12,11;105252763,0;530703,0;1274674335,0;780;246906
Smin-Smax Policy;15;96555,4;123123330,08;123219885,48;0,39;99,69;99,61;5104,69;11,97;105252763,0;410384,0;1260378075,0;756;246906
Smin-Smax Policy;16;95440,55;123123330,08;123218770,63;0,49;99,71;99,51;5135,32;12,05;105252763,0;517718,0;1267940527,0;728;246906
Smin-Smax Policy;17;96143,07;123123330,08;123219473,15;0,39;99,7;99,61;5148,65;12,08;105252763,0;406741,0;1271232465,0;732;246906
Smin-Smax Policy;18;94517,06;123123330,08;123217847,14;0,49;99,7;99,51;5189,46;12,17;105252763,0;516274,0;1281308209,0;738;246906
Smin-Smax Policy;19;95193,0;123123330,08;123218523,08;0,42;99,71;99,58;5107,74;11,98;105252763,0;438573,0;1261131985,0;715;246906
Smin-Smax Policy;20;95443,16;123123330,08;123218773,24;0,38;99,71;99,62;5105,56;11,98;105252763,0;399051,0;1260592641,0;728;246906
Smin-Smax Policy;21;95967,83;123123330,08;123219297,91;0,48;99,72;99,52;5160,21;12,11;105252763,0;503103,0;1274087706,0;697;246906
Smin-Smax Policy;22;96711,79;123123330,08;123220041,87;0,47;99,71;99,53;5156,08;12,1;105252763,0;498560,0;1273068062,0;717;246906
Smin-Smax Policy;23;95287,12;123123330,08;123218617,2;0,39;99,71;99,61;5117,84;12,01;105252763,0;408705,0;1263624622,0;711;246906
Smin-Smax Policy;24;95341,91;123123330,08;123218671,99;0,4;99,72;99,6;5071,85;11,9;105252763,0;421701,0;1252269851,0;684;246906
Smin-Smax Policy;25;96688,68;123123330,08;123220018,76;0,38;99,71;99,62;5102,29;11,97;105252763,0;397024,0;1259787181,0;709;246906
Smin-Smax Policy;26;95634,15;123123330,08;123218964,23;0,51;99,72;99,49;5168,07;12,12;105252763,0;535576,0;1276028352,0;698;246906
Smin-Smax Policy;27;95363,45;123123330,08;123218693,53;0,45;99,71;99,55;5109,56;11,99;105252763,0;468384,0;1261580350,0;716;246906
Smin-Smax Policy;28;94235,96;123123330,08;123217566,04;0,42;99,7;99,58;5087,14;11,93;105252763,0;446280,0;1256044738,0;752;246906
Smin-Smax Policy;29;95482,6;123123330,08;123218812,68;0,32;99,72;99,68;5067,56;11,89;105252763,0;338007,0;1251212100,0;700;246906
Smin-Smax Policy;30;95128,49;123123330,08;123218458,57;0,51;99,7;99,49;5096,19;11,95;105252763,0;535240,0;1258279978,0;735;246906
Smin-Smax Policy;31;95567,94;123123330,08;123218898,02;0,42;99,7;99,58;5153,69;12,09;105252763,0;443580,0;1272476443,0;740;246906
Smin-Smax Policy;32;95647,31;123123330,08;123218977,39;0,35;99,71;99,65;5099,75;11,96;105252763,0;369476,0;1259158735,0;723;246906
Smin-Smax Policy;33;97141,53;123123330,08;123220471,61;0,45;99,71;99,55;5156,27;12,1;105252763,0;471663,0;1273112892,0;716;246906
Smin-Smax Policy;34;95164,05;123123330,08;123218494,13;0,38;99,7;99,62;5128,64;12,03;105252763,0;395633,0;1266291953,0;739;246906
Smin-Smax Policy;35;96482,94;123123330,08;123219813,02;0,45;99,71;99,55;5111,35;11,99;105252763,0;470650,0;1262023441,0;713;246906
Smin-Smax Policy;36;98956,44;123123330,08;123222286,52;0,5;99,71;99,5;5208,58;12,22;105252763,0;524793,0;1286030733,0;707;246906
Smin-Smax Policy;37;96025,14;123123330,08;123219355,22;0,43;99,68;99,57;5135,34;12,05;105252763,0;451585,0;1267946343,0;778;246906
Smin-Smax Policy;38;96861,94;123123330,08;123220192,02;0,5;99,71;99,5;5165,85;12,12;105252763,0;524834,0;1275478153,0;726;246906
Smin-Smax Policy;39;96273,63;123123330,08;123219603,71;0,47;99,71;99,53;5173,49;12,14;105252763,0;498663,0;1277365854,0;724;246906
