SKU;Total Cost;Stockout Rate;Alpha Service Level;Beta Service Level;Average Inventory Level;Stock Coverage (days)
AARC08EBQ;15042,45;31,1;98,99;68,9;498,48;50,15
ABQX30YRP;14416,64;0,0;100,0;100,0;270,42;22,02
ABYM76DAT;8395,43;3,98;99,49;96,02;436,77;49,14
ABZC45IMI;132393,19;0,0;100,0;100,0;1164,52;7,67
ABZO08CDK;146445,82;0,0;100,0;100,0;1651,84;7,05
ACFI41GPC;12750,8;0,0;100,0;100,0;324,4;19,05
ACQO46NVK;49215,4;0,0;100,0;100,0;1562,22;33,68
ACQX88XCS;23420,07;0,23;99,49;99,77;1764,86;19,76
ACSA76DHG;110735,96;0,08;99,49;99,92;5017,0;16,63
ADML95JEA;174902,15;0,0;100,0;100,0;234,83;12,31
ADRC82WLA;57031,82;0,0;100,0;100,0;753,01;38,87
AEYW04EAS;303533,26;0,05;98,99;99,95;3949,04;10,46
AFJX14TPC;173606,79;0,8;98,48;99,2;6264,82;4,11
AFOI33TBC;29379,79;0,0;100,0;100,0;697,65;12,29
AGNE71LCM;327913,4;0,0;100,0;100,0;5550,27;11,34
AGOV90VAY;1334268,04;1,73;98,48;98,27;42471,27;4,1
AHRX26EUI;1963,84;0,0;100,0;100,0;644,14;47,95
AHSQ10ADO;89390,01;1,77;98,99;98,23;1346,42;9,71
AJVS96PAY;315,12;0,0;100,0;100,0;129,39;102,48
AKAO10DDE;44910,34;5,84;99,49;94,16;1063,03;16,92
AKQL51SZN;17892,36;1,0;99,49;99,0;783,27;38,93
ALAN21NRD;40488,34;0,22;99,49;99,78;958,73;6,05
ALUB59SPL;160226,91;1,41;96,97;98,59;4480,3;4,99
ALVC28NVJ;80703,67;0,23;99,49;99,77;1700,67;9,15
AMGY06SEJ;5602,94;0,0;100,0;100,0;1060,73;346,57
ANEP69KSW;120938,12;0,0;100,0;100,0;1505,86;7,6
AOXT12ZOZ;48914,15;0,0;100,0;100,0;1470,84;7,09
AOZX54SFS;196791,0;0,06;99,49;99,94;3935,38;5,84
APJW02QGZ;30042,31;0,0;100,0;100,0;1514,48;13,03
APMP40YNJ;8296,52;0,0;100,0;100,0;781,01;92,05
APZK92QSV;121368,91;1,96;98,99;98,04;976,42;7,28
AQDF70FXF;8236,47;0,0;100,0;100,0;267,94;285,23
AQEG79FFY;200494,76;4,43;98,48;95,57;2033,79;8,38
AQMC12QMF;48187,82;0,0;100,0;100,0;898,08;10,0
AQQZ89VBR;10170,92;0,0;100,0;100,0;452,4;91,03
AQTP36TVE;13965,25;13,04;99,49;86,96;334,14;37,34
ARNR68HFV;1004020,9;0,27;99,49;99,73;161049,9;7,04
ARZE08ZTN;47509,07;3,7;97,98;96,3;8827,65;28,86
ATBC63UWV;39720,74;0,0;100,0;100,0;1003,31;14,84
ATPH55ETY;26672,77;0,29;99,49;99,71;373,86;10,65
ATQP40GEG;40371,14;0,0;100,0;100,0;971,98;24,95
ATQV14KOX;58777,44;14,19;90,91;85,81;2290,82;9,56
