Simulation;Stock_Cost;Order_Cost;Stockout_Rate;Alpha_Service_Level;Beta_Service_Level;Average_Inventory_Level;Stock_Coverage_Days;Service_Level_Target
1;56948,27;127171820,16;0,71;99,65;99,29;2735,28;46,08;0,91
2;57053,75;127045977,36;0,7;99,67;99,3;2735,49;46,15;0,91
3;57172,7;127507950,14;0,7;99,66;99,3;2742,69;46,07;0,91
4;57155,77;127477978,16;0,7;99,67;99,3;2735,54;46,28;0,91
5;57019,62;127434865,94;0,7;99,67;99,3;2736,98;46,21;0,91
6;57098,88;127389810,69;0,7;99,65;99,3;2740,77;46,47;0,91
7;57234,08;127480163,86;0,7;99,65;99,3;2745,41;46,05;0,91
8;57150,28;127439839,04;0,71;99,67;99,29;2750,92;46,16;0,91
9;57479,28;127635906,82;0,71;99,65;99,29;2759,39;46,31;0,91
10;57295,28;127292199,06;0,7;99,65;99,3;2753,68;46,02;0,91
11;57348,02;127330141,26;0,7;99,66;99,3;2758,07;46,08;0,91
12;56976,63;127241953,25;0,71;99,65;99,29;2737,38;46,0;0,91
13;57207,42;127365114,77;0,7;99,66;99,3;2753,42;46,07;0,91
14;56828,73;127620308,05;0,7;99,66;99,3;2730,4;45,85;0,91
15;57353,97;127397187,01;0,7;99,66;99,3;2746,25;46,39;0,91
16;57314,19;127462343,49;0,7;99,66;99,3;2749,68;46,39;0,91
17;56747,7;127292736,59;0,7;99,66;99,3;2724,56;45,94;0,91
18;57089,15;127559813,56;0,7;99,66;99,3;2739,36;46,26;0,91
19;57121,63;127357590,54;0,7;99,66;99,3;2736,21;46,43;0,91
20;57186,95;127467247,58;0,7;99,66;99,3;2742,68;46,13;0,91
21;57054,33;127271496,02;0,71;99,67;99,29;2740,91;45,83;0,91
22;57196,84;127380666,84;0,7;99,66;99,3;2748,59;45,97;0,91
23;57063,02;127362893,14;0,71;99,65;99,29;2732,51;46,21;0,91
24;57654,24;127495318,44;0,7;99,66;99,3;2755,89;46,3;0,91
25;57227,14;127425440,12;0,7;99,66;99,3;2750,74;46,34;0,91
26;57025,94;127377423,36;0,7;99,66;99,3;2731,8;46,08;0,91
27;56989,7;127323467,24;0,7;99,67;99,3;2723,36;46,33;0,91
28;57090,79;127227419,95;0,71;99,64;99,29;2736,63;45,9;0,91
29;57392,41;127311819,14;0,71;99,66;99,29;2751,09;46,33;0,91
30;57515,15;127287737,3;0,7;99,68;99,3;2753,74;46,29;0,91
31;57329,04;127636082,63;0,7;99,65;99,3;2752,68;46,26;0,91
32;57433,5;127642115,02;0,7;99,67;99,3;2745,93;46,09;0,91
33;57033,57;127188270,73;0,71;99,67;99,29;2735,49;45,98;0,91
34;57192,44;127270807,25;0,71;99,65;99,29;2761,44;46,06;0,91
35;57260,96;127134490,27;0,7;99,67;99,3;2751,32;46,03;0,91
36;57396,58;127275617,12;0,71;99,65;99,29;2759,59;46,15;0,91
37;57399,65;127293197,92;0,7;99,65;99,3;2755,44;46,16;0,91
38;57411,11;127534873,66;0,69;99,67;99,31;2746,94;46,29;0,91
39;57320,66;127337306,52;0,7;99,65;99,3;2750,69;46,36;0,91
40;57305,18;127259272,31;0,7;99,66;99,3;2761,86;46,13;0,91
41;56976,86;127281407,07;0,71;99,65;99,29;2729,56;46,24;0,91
42;56857,84;127082539,31;0,71;99,65;99,29;2730,7;45,87;0,91
43;57323,82;127357064,54;0,7;99,66;99,3;2759,11;46,27;0,91
44;57455,73;127360442,15;0,7;99,67;99,3;2765,6;45,98;0,91
45;57393,92;127633402,36;0,71;99,65;99,29;2757,47;46,21;0,91
46;57133,34;127212242,23;0,7;99,65;99,3;2749,28;46,12;0,91
47;57390,83;127234723,72;0,71;99,64;99,29;2765,69;46,2;0,91
48;57360,86;127461111,45;0,7;99,65;99,3;2757,23;46,23;0,91
49;57062,43;127416446,59;0,7;99,66;99,3;2736,53;46,22;0,91
50;57356,55;127404119,23;0,71;99,66;99,29;2764,96;46,27;0,91
51;57130,4;127502622,82;0,71;99,65;99,29;2738,53;45,85;0,91
52;57189,26;127518375,79;0,7;99,66;99,3;2748,16;46,04;0,91
53;57047,38;127483339,49;0,7;99,66;99,3;2745,91;46,03;0,91
54;57400,11;127452685,67;0,7;99,66;99,3;2763,64;46,12;0,91
55;57229,35;127384439,25;0,7;99,66;99,3;2749,9;46,38;0,91
56;57268,32;127534942,28;0,7;99,66;99,3;2741,36;46,29;0,91
57;56989,47;127533910,83;0,7;99,65;99,3;2721,61;46,1;0,91
58;57421,97;127515298,34;0,72;99,65;99,28;2746,97;46,09;0,91
59;57607,62;127065206,5;0,7;99,67;99,3;2772,73;46,12;0,91
60;57204,94;127234059,84;0,7;99,66;99,3;2751,92;46,02;0,91
61;57037,01;127359907,04;0,7;99,66;99,3;2737,04;46,12;0,91
62;56821,6;127357278,05;0,7;99,65;99,3;2731,59;46,04;0,91
63;57508,03;127400120,53;0,7;99,67;99,3;2760,69;46,54;0,91
64;57188,64;127303634,22;0,71;99,66;99,29;2738,83;46,16;0,91
65;57351,52;127629357,09;0,71;99,64;99,29;2759,34;46,26;0,91
66;57064,66;127426985,32;0,7;99,65;99,3;2734,53;46,18;0,91
67;57015,1;127085334,63;0,71;99,66;99,29;2747,51;45,87;0,91
68;57266,13;127536124,08;0,71;99,65;99,29;2751,08;46,37;0,91
69;57139,73;127514902,31;0,7;99,66;99,3;2741,56;46,36;0,91
70;57376,54;127523222,3;0,7;99,66;99,3;2759,09;46,08;0,91
71;57107,63;127293376,68;0,7;99,66;99,3;2742,53;45,71;0,91
72;57233,4;127328073,71;0,69;99,67;99,31;2752,06;46,06;0,91
73;57292,73;127324125,67;0,7;99,66;99,3;2748,9;45,92;0,91
74;57456,78;127484406,24;0,71;99,65;99,29;2765,55;46,1;0,91
75;57307,85;127525967,63;0,7;99,67;99,3;2750,4;46,05;0,91
76;57052,82;127303713,09;0,7;99,65;99,3;2744,51;46,07;0,91
77;57321,35;127371871,4;0,71;99,65;99,29;2756,82;46,17;0,91
78;57133,71;127349323,56;0,71;99,65;99,29;2742,06;45,99;0,91
79;57246,82;127287415,55;0,71;99,66;99,29;2749,27;46,06;0,91
80;56758,76;127669302,07;0,7;99,66;99,3;2732,16;45,99;0,91
81;57261,32;127496547,74;0,7;99,66;99,3;2754,97;46,19;0,91
82;56961,81;127386391,19;0,7;99,65;99,3;2730,66;46,11;0,91
83;57284,63;127334140,77;0,7;99,66;99,3;2741,39;46,26;0,91
84;57438,91;127272344,0;0,71;99,66;99,29;2758,24;46,16;0,91
85;57622,17;127541659,97;0,71;99,67;99,29;2761,22;46,35;0,91
86;57228,19;127454499,64;0,7;99,66;99,3;2738,69;46,24;0,91
87;56938,16;127471073,1;0,71;99,66;99,29;2734,0;46,18;0,91
88;57094,62;127295327,83;0,7;99,66;99,3;2743,51;46,21;0,91
89;57242,16;127428968,93;0,71;99,65;99,29;2733,27;46,12;0,91
90;56948,68;127453510,0;0,7;99,67;99,3;2734,46;46,26;0,91
91;57294,06;127417154,8;0,7;99,66;99,3;2733,94;46,94;0,91
92;57075,51;127321756,37;0,71;99,65;99,29;2732,03;46,23;0,91
93;57323,23;127377077,36;0,7;99,67;99,3;2754,6;45,96;0,91
94;57527,4;127450242,55;0,71;99,66;99,29;2758,86;46,22;0,91
95;56969,17;127419869,9;0,7;99,66;99,3;2735,79;46,16;0,91
96;57461,81;127416927,71;0,71;99,67;99,29;2763,73;46,02;0,91
97;57444,69;127378581,1;0,71;99,66;99,29;2765,05;46,13;0,91
98;57133,13;127491764,38;0,7;99,66;99,3;2748,01;46,11;0,91
99;56675,3;127553902,53;0,71;99,65;99,29;2721,04;45,95;0,91
100;57354,34;127445796,16;0,7;99,67;99,3;2752,35;46,33;0,91
