SKU;Total Cost;Stockout Rate;Alpha Service Level;Beta Service Level;Average Inventory Level;Stock Coverage (days)
AARC08EBQ;21362,25;0,0;100,0;100,0;1172,98;118,01
ABQX30YRP;14418,2;0,0;100,0;100,0;295,31;24,04
ABYM76DAT;8601,55;0,0;100,0;100,0;590,61;66,44
ABZC45IMI;128654,84;0,0;100,0;100,0;1752,67;11,55
ABZO08CDK;142140,06;0,0;100,0;100,0;1456,09;6,21
ACFI41GPC;12122,79;0,0;100,0;100,0;265,57;15,59
ACQO46NVK;49534,36;0,0;100,0;100,0;1539,69;33,19
ACQX88XCS;28491,24;0,0;100,0;100,0;3080,95;34,49
ACSA76DHG;98311,24;0,0;100,0;100,0;3343,39;11,08
ADML95JEA;248630,98;0,0;100,0;100,0;644,24;33,78
ADRC82WLA;48871,16;0,0;100,0;100,0;539,68;27,86
AEYW04EAS;278780,36;0,0;100,0;100,0;6228,79;16,5
AFJX14TPC;170282,17;0,0;100,0;100,0;9923,8;6,5
AFOI33TBC;27721,22;0,0;100,0;100,0;883,7;15,57
AGNE71LCM;305724,87;0,0;100,0;100,0;4875,75;9,97
AGOV90VAY;1388514,4;0,0;100,0;100,0;95940,6;9,27
AHRX26EUI;1964,19;0,0;100,0;100,0;707,78;52,68
AHSQ10ADO;84487,65;1,14;99,49;98,86;1385,17;9,98
AJVS96PAY;315,09;0,0;100,0;100,0;128,18;101,52
AKAO10DDE;40820,35;0,0;100,0;100,0;538,96;8,58
AKQL51SZN;17897,43;0,0;100,0;100,0;892,73;44,37
ALAN21NRD;39082,01;0,15;99,49;99,85;1189,2;7,51
ALUB59SPL;155884,17;0,0;100,0;100,0;7406,36;8,25
ALVC28NVJ;80148,69;0,0;100,0;100,0;2187,1;11,76
AMGY06SEJ;5602,71;0,0;100,0;100,0;1053,45;344,2
ANEP69KSW;117492,64;0,0;100,0;100,0;1842,43;9,3
AOXT12ZOZ;46207,24;0,0;100,0;100,0;1519,56;7,33
AOZX54SFS;200030,2;0,0;100,0;100,0;6097,36;9,05
APJW02QGZ;27343,8;0,0;100,0;100,0;1867,74;16,07
APMP40YNJ;20766,08;0,0;100,0;100,0;1448,29;170,69
APZK92QSV;125136,2;0,0;100,0;100,0;1368,48;10,2
AQDF70FXF;16503,43;0,0;100,0;100,0;684,67;728,84
AQEG79FFY;207013,47;0,0;100,0;100,0;5401,6;22,25
AQMC12QMF;47896,67;0,0;100,0;100,0;888,38;9,89
AQQZ89VBR;10169,91;0,0;100,0;100,0;440,28;88,59
AQTP36TVE;31226,9;0,0;100,0;100,0;656,39;73,34
ARNR68HFV;1002190,25;0,0;100,0;100,0;211126,99;9,23
ARZE08ZTN;45474,75;6,45;96,46;93,55;8405,07;27,48
ATBC63UWV;37882,8;0,0;100,0;100,0;716,83;10,6
ATPH55ETY;25583,47;0,0;100,0;100,0;443,38;12,64
ATQP40GEG;40361,87;0,0;100,0;100,0;795,49;20,42
ATQV14KOX;67694,96;0,0;100,0;100,0;9458,85;39,48
AUZL62GWE;35293,66;0,26;99,49;99,74;517,19;10,62
AVIL64ITJ;92097,48;3,91;99,49;96,09;3777,37;13,23
AVQK51NHG;6010,99;0,0;100,0;100,0;3458,48;58,83
AVRZ64AAQ;797,55;50,0;99,49;50,0;520,18;4291,5
AWMJ94SYI;91891,54;0,0;100,0;100,0;1118,64;11,25
AXAN27EQX;72810,71;0,0;100,0;100,0;4716,22;79,57
AXXN38NAM;2211,29;0,0;100,0;100,0;452,67;101,27
AXYH42OMU;51320,78;0,0;100,0;100,0;881,13;15,61
