sku,MAE,RMSE,MAPE (%),wMAPE (%),Bias,Hit Dir. (%),Max Overflow,Max Shortfall,Final Drift,Avg Actual,Avg Predicted,Max Actual,Days
HXLO55PYA,19.31,54.38,624.13,2360.48,18.08,43.6,3983.5,-6.0,3977.9,0.8,18.9,12,220
BVZS73UON,46.88,89.06,2732.3,2281.64,44.41,41.4,9774.9,0.3,9770.2,2.1,46.5,69,220
BTWA91PYV,0.66,3.83,65.64,601.85,0.66,0.9,144.4,15.8,144.4,0.1,0.8,24,220
NZHF31NTS,0.23,1.22,100.0,512.24,0.14,0.5,31.2,3.6,31.2,0.0,0.2,10,220
RDMF02BPH,8.3,46.95,460.18,506.95,8.3,2.3,1825.0,402.6,1825.0,1.6,9.9,216,220
RFHD44BLL,10.68,18.8,126.79,331.77,5.49,40.0,1218.2,-11.6,1207.3,3.2,8.7,24,220
CSRR53LXL,0.14,0.92,25.32,310.96,0.12,2.7,26.0,-2.5,26.0,0.0,0.2,10,220
FELA51VRD,0.9,3.11,85.23,310.39,0.6,5.0,131.2,6.6,131.2,0.3,0.9,24,220
OUXX72DDI,2.59,14.08,520.78,309.87,1.97,2.3,433.6,121.6,433.6,0.8,2.8,76,220
XGKR86GEO,7.47,17.84,110.19,293.52,3.08,45.0,736.6,-93.7,676.9,2.5,5.6,40,220
FWRK19CWC,4.05,11.0,175.99,256.17,1.97,15.9,432.7,-6.8,432.7,1.6,3.5,78,220
HYMC29LXK,0.26,2.06,11.75,241.75,0.26,0.9,58.0,2.8,58.0,0.1,0.4,24,220
AJVS96PAY,2.59,5.56,86.79,203.37,0.38,10.5,83.5,-20.0,83.5,1.3,1.7,30,220
MGJC47UXS,5.33,24.67,81.42,195.55,0.89,3.2,196.2,-311.5,196.2,2.7,3.6,150,220
LCPK89JRR,0.66,3.27,90.15,181.57,0.01,3.6,49.0,-22.4,2.5,0.4,0.4,30,220
TFWO18MWN,6.36,51.66,91.26,175.43,-0.71,8.2,0.0,-749.9,-156.9,3.6,2.9,644,220
BNVS50RKZ,0.04,0.38,100.0,168.02,-0.01,5.9,3.1,-1.9,-1.6,0.0,0.0,5,220
KHGF18JYG,0.45,2.26,88.94,163.33,-0.06,5.0,15.5,-37.1,-12.1,0.3,0.2,20,220
AVRZ64AAQ,3.25,16.34,186.87,161.26,2.47,8.2,544.5,-53.1,544.5,2.0,4.5,276,220
RRUH67YVS,0.3,1.91,82.69,157.81,0.0,2.7,7.6,-13.3,0.9,0.2,0.2,28,220
JPDD96AYM,17.27,165.64,99.9,156.32,-4.77,9.1,0.0,-2371.1,-1050.4,11.0,6.3,2160,220
QIEQ80BVY,1.68,7.57,88.13,154.45,-0.19,4.5,0.0,-154.9,-41.8,1.1,0.9,80,220
AVDD37ADG,16.04,171.75,100.0,153.15,-4.91,0.5,0.0,-2304.0,-1079.4,10.5,5.6,2304,220
RKIU80SNO,0.05,0.37,90.47,148.66,-0.01,3.2,0.0,-7.0,-2.6,0.0,0.0,4,220
UBOE04JIG,1.75,14.25,98.79,145.7,-0.64,3.6,2.0,-245.9,-140.9,1.2,0.6,192,220
CVWQ19GME,0.5,3.78,75.87,142.29,-0.04,2.3,-5.1,-57.7,-9.3,0.4,0.3,54,220
EUAQ00JNU,0.06,0.71,100.0,138.38,-0.03,3.2,0.0,-10.0,-6.2,0.0,0.0,10,220
GVSE28KAF,0.9,10.27,100.0,137.96,-0.41,1.4,0.5,-143.5,-89.3,0.7,0.2,144,220
DCCI03FJF,40.52,127.04,98.39,137.55,-16.95,36.4,0.0,-3945.1,-3730.0,29.5,12.5,864,220
IZVB26MLS,12.42,20.91,60.23,135.52,6.04,30.9,1327.9,-146.3,1327.9,9.2,15.2,180,220
VSBF57PTR,9.23,37.49,69.58,135.42,-0.61,5.0,0.0,-529.6,-134.9,6.8,6.2,300,220
YEIW32KNI,0.29,1.3,96.76,134.22,-0.13,11.8,0.0,-31.9,-28.9,0.2,0.1,12,220
EUKN02AQD,14.11,76.43,63.29,134.07,-3.48,29.1,27.1,-979.6,-765.3,10.5,7.0,876,220
EMRK64FKK,0.36,4.15,100.0,132.79,-0.18,3.2,0.0,-60.0,-40.3,0.3,0.1,60,220
RBQF01BID,0.65,2.3,41.22,132.7,0.29,4.1,64.1,-2.3,64.1,0.5,0.8,24,220
AQDF70FXF,1.12,4.84,90.33,132.01,-0.33,20.9,0.0,-75.2,-73.3,0.8,0.5,66,220
HUEC81NSQ,0.91,2.83,40.07,131.94,0.49,5.5,108.6,-11.9,108.6,0.7,1.2,32,220
HQCP63KVF,3.62,41.74,100.0,131.17,-1.9,0.5,0.0,-608.0,-418.5,2.8,0.9,608,220
SLCI26MJC,0.38,1.6,85.59,129.9,-0.12,7.3,0.0,-47.6,-26.4,0.3,0.2,8,220
XJKP12VQF,0.18,2.05,100.0,129.25,-0.1,6.8,2.0,-28.0,-21.2,0.1,0.0,30,220
OOSU70CSK,2.35,14.68,78.79,129.19,-0.78,5.5,-8.0,-277.7,-172.3,1.8,1.0,192,220
UWQT79KXK,1.41,3.91,96.43,129.0,-0.68,40.5,-6.9,-152.4,-150.0,1.1,0.4,32,220
GEIL72FVU,4.45,6.6,71.38,128.95,-0.8,40.0,9.2,-186.2,-176.9,3.5,2.7,32,220
UCGD30SBP,0.47,4.39,100.0,128.07,-0.26,2.3,0.0,-60.0,-57.5,0.4,0.1,60,220
GWWT57FRV,2.65,13.82,74.22,128.06,-0.8,10.0,14.9,-231.4,-175.5,2.1,1.3,192,220
CEDN88DWP,1.3,3.81,91.31,127.79,-0.59,35.0,0.0,-141.0,-129.6,1.0,0.4,40,220
FQDL25EZN,1.81,6.88,99.4,127.68,-0.56,22.3,6.1,-183.3,-123.4,1.4,0.9,78,220
EUQJ35PNX,82.33,168.84,94.86,127.65,-41.98,31.8,2.2,-9282.9,-9236.7,64.5,22.5,750,220
DFND42KEG,0.51,2.68,72.46,127.58,-0.11,5.5,12.8,-51.1,-23.3,0.4,0.3,29,220
JDNR75HKN,0.21,1.79,94.82,127.24,-0.11,4.1,0.0,-31.2,-23.7,0.2,0.1,24,220
LOPW30UAS,6.53,30.05,122.29,126.84,-3.22,21.4,0.0,-710.0,-708.6,5.2,1.9,220,220
VXPV65XYE,0.72,2.42,87.94,125.82,-0.2,13.2,2.1,-89.3,-44.3,0.6,0.4,18,220
FOII60HZR,1.54,3.73,91.03,124.86,-0.74,27.7,0.9,-168.0,-163.8,1.2,0.5,24,220
GVFL45RLZ,14.08,61.28,83.41,123.87,-5.03,28.2,6.1,-1343.5,-1106.4,11.4,6.3,590,220
FVHZ80HLO,1.48,7.57,60.36,123.66,-0.24,11.4,36.9,-85.2,-52.5,1.2,1.0,104,220
RTIC96BXZ,1.69,6.91,86.84,123.65,-0.8,9.1,26.8,-188.4,-177.0,1.4,0.6,60,220
QDQA42RMJ,2.84,5.8,78.4,122.55,-0.75,28.2,32.1,-192.1,-165.3,2.3,1.6,50,220
ICVL64BYU,2.72,23.68,100.0,121.67,-1.75,8.2,0.0,-438.7,-385.4,2.2,0.5,252,220
ZRIG88UVE,0.71,3.23,84.19,120.62,-0.28,10.0,0.0,-87.5,-61.1,0.6,0.3,26,220
TETH66TIA,11.84,50.06,126.43,120.55,-5.01,37.3,9.0,-1109.2,-1102.8,9.8,4.8,580,220
NKPY49FBU,28.11,81.29,93.84,120.54,-16.29,38.6,0.0,-3583.3,-3583.3,23.3,7.0,450,220
JMGP54LAK,0.96,5.22,97.45,120.49,-0.61,9.5,0.0,-137.3,-135.1,0.8,0.2,50,220
UVAB60CVK,96.15,169.67,90.3,119.71,-50.17,36.8,0.0,-11038.1,-11038.1,80.3,30.1,700,220
LCXZ81IJE,0.03,0.41,100.0,118.85,-0.02,8.2,0.6,-5.4,-4.9,0.0,0.0,6,220
ULPU08HAG,2.78,21.79,97.53,118.68,-1.72,12.7,-8.8,-483.1,-379.2,2.3,0.6,240,220
GABV28SGD,4.73,12.29,79.14,118.36,-2.42,34.1,5.0,-534.7,-532.8,4.0,1.6,85,220
CYIL54NKH,3.23,11.07,87.91,118.36,-1.62,34.1,16.8,-381.4,-356.4,2.7,1.1,112,220
KIWI81VUX,0.9,8.14,100.0,118.32,-0.62,11.4,0.0,-153.0,-137.2,0.8,0.1,84,220
ZRUV36SHB,1.18,9.03,154.24,118.07,-0.43,7.3,13.5,-164.2,-95.6,1.0,0.6,104,220
OBVA40KRF,4.34,36.99,99.05,117.91,-2.75,18.2,0.0,-772.2,-604.1,3.7,0.9,460,220
YHKC77IHC,7.55,79.33,111.89,117.82,-2.54,3.6,14.8,-1095.2,-558.8,6.4,3.9,1110,220
QOWU46JPA,1.07,3.42,92.88,117.69,-0.63,45.5,0.0,-140.0,-139.1,0.9,0.3,32,220
HSFI70LCX,45.11,80.62,81.33,117.3,-14.77,35.9,133.2,-3336.1,-3248.8,38.5,23.7,360,220
JUMZ90SON,10.54,111.65,117.5,117.23,-6.71,38.2,5.7,-1741.5,-1477.0,9.0,2.3,1638,220
GVMB23LHG,12.08,51.26,79.91,117.18,-5.18,36.4,66.2,-1240.3,-1140.6,10.3,5.1,492,220
XCPE58EOM,2.81,7.93,95.61,117.03,-1.86,22.3,0.0,-413.2,-410.2,2.4,0.5,50,220
PYWQ64UBD,0.69,5.55,120.82,116.94,-0.4,19.1,0.1,-96.0,-88.1,0.6,0.2,79,220
LJDZ42HAY,8.56,57.96,217.13,116.92,8.56,3.2,1882.3,643.3,1882.3,7.3,15.9,560,220
XWOX86XBU,1.23,3.46,98.04,116.6,-0.84,44.1,0.0,-184.5,-183.7,1.1,0.2,24,220
UXUL44RFJ,0.11,1.35,100.0,115.58,-0.08,2.7,0.0,-20.0,-16.9,0.1,0.0,20,220
WXYE15FCZ,3.64,9.8,94.04,115.4,-2.43,43.2,0.5,-535.5,-535.5,3.2,0.7,52,220
QBND07ECT,3.46,8.75,74.8,115.21,-1.36,25.9,0.0,-321.4,-299.1,3.0,1.6,72,220
KQBK78YDS,6.51,19.52,52.11,114.73,1.64,10.5,360.1,68.0,360.1,5.7,7.3,160,220
NMTQ54VSX,1.19,6.87,91.01,114.51,-0.73,10.9,0.0,-187.9,-160.2,1.0,0.3,80,220
LKTL69IWI,0.27,1.78,99.22,114.34,-0.2,4.5,0.0,-45.6,-43.0,0.2,0.0,20,220
HCXC23JBK,5.29,7.85,78.92,114.19,-2.2,43.2,6.1,-483.7,-483.7,4.6,2.4,36,220
FUDI74XNQ,5.38,45.5,85.66,113.47,-2.99,16.4,-7.7,-826.1,-658.3,4.7,1.8,660,220
DAZV00ZDO,6.59,29.61,118.86,113.42,-2.93,10.9,59.3,-693.2,-643.7,5.8,2.9,354,220
GRPP27LTI,1.49,17.13,49.48,113.32,-0.87,3.6,7.0,-252.6,-190.5,1.3,0.5,260,220
NLJX03TOS,4.19,7.66,95.11,113.08,-2.89,35.5,-11.3,-638.6,-636.7,3.7,0.8,36,220
GOHV77ONS,0.31,1.76,95.48,113.02,-0.21,5.5,4.3,-49.5,-46.8,0.3,0.1,12,220
FOBR22MSN,2.33,17.97,86.13,112.8,-1.07,5.9,0.0,-247.0,-234.5,2.1,1.0,247,220
SVIU22BOP,6.34,9.0,61.03,112.43,-1.04,45.9,16.1,-242.4,-227.9,5.6,4.6,50,220
GKIG18SVP,0.55,4.98,80.81,112.42,-0.32,7.7,6.8,-86.5,-71.3,0.5,0.2,71,220
WKMW98BTJ,0.38,3.31,83.81,112.38,-0.23,5.0,12.9,-51.1,-49.6,0.3,0.1,47,220
AVXZ77EDF,0.74,2.43,99.59,112.35,-0.57,45.9,0.0,-128.2,-125.1,0.7,0.1,16,220
WKEL54YEE,1.27,11.95,100.0,112.07,-1.0,15.0,0.0,-241.8,-219.8,1.1,0.1,160,220
OAAJ19ZWY,0.19,2.11,100.0,111.99,-0.15,11.8,0.9,-37.1,-33.4,0.2,0.0,30,220
QIZH02CFJ,7.57,33.39,69.42,111.93,-3.83,20.5,4.1,-913.5,-841.8,6.8,2.9,396,220
IRGW30AKZ,4.19,12.79,93.53,111.89,-2.97,34.1,1.1,-654.2,-654.2,3.7,0.8,84,220
BMLB33LZE,5.98,12.99,83.11,111.66,-3.73,37.7,2.1,-820.7,-820.7,5.4,1.6,70,220
QKLS36AZA,1.7,10.45,91.56,111.26,-0.16,4.1,15.0,-130.6,-36.1,1.5,1.4,152,220
MBRL60OFJ,4.6,6.24,64.65,111.02,-1.04,48.6,12.9,-234.9,-228.1,4.1,3.1,24,220
PYYC89TAM,3.67,9.34,94.56,110.99,-2.65,45.9,1.5,-585.3,-583.5,3.3,0.7,52,220
FTVN35LTE,2.18,9.05,94.21,110.92,-1.62,29.5,1.3,-368.4,-355.8,2.0,0.3,96,220
DVKW42JPW,3.45,9.49,97.65,110.91,-2.64,40.9,-40.0,-581.6,-581.5,3.1,0.5,60,220
WLFM36VBX,8.08,14.08,57.23,110.55,-1.09,37.7,31.7,-285.5,-240.4,7.3,6.2,84,220
SAMY25MFR,2.3,6.69,82.98,110.16,-1.26,29.5,0.0,-318.8,-278.0,2.1,0.8,48,220
KYYY81SZH,5.58,52.38,252.01,110.03,-4.35,13.6,0.0,-1020.4,-956.0,5.1,0.7,576,220
AHRX26EUI,20.98,36.94,85.68,109.9,-12.11,40.0,28.3,-2706.3,-2664.4,19.1,7.0,210,220
JZCG80FPW,0.14,1.05,93.1,109.9,-0.11,41.8,0.2,-23.7,-23.7,0.1,0.0,15,220
GSPG11FMG,10.08,21.49,92.5,109.84,-7.16,42.3,-20.0,-1575.3,-1574.2,9.2,2.0,220,220
TWMH81RLK,1.97,12.03,84.37,109.65,-1.19,8.6,-10.9,-291.0,-261.4,1.8,0.6,132,220
NSJX60UWP,2.64,5.37,90.27,109.54,-1.75,47.7,0.0,-385.9,-385.9,2.4,0.7,30,220
DRIH34TYV,0.12,1.62,100.0,109.54,-0.1,4.5,0.0,-24.0,-21.7,0.1,0.0,24,220
FHOD96CFO,23.22,133.38,104.73,109.53,-16.03,20.0,0.0,-3685.0,-3526.1,21.2,5.2,1628,220
HEBX11TNP,11.88,55.81,84.59,109.44,-7.77,36.8,9.5,-1715.2,-1708.4,10.9,3.1,552,220
OFEE62JBT,2.93,6.34,90.59,109.42,-1.9,33.6,0.2,-425.1,-419.0,2.7,0.8,40,220
BRLS89SHM,1.74,6.26,94.53,109.27,-1.29,20.0,0.0,-284.9,-284.5,1.6,0.3,50,220
MUZS01PYY,25.83,44.64,90.58,109.26,-17.22,37.7,0.0,-3789.5,-3789.5,23.6,6.4,160,220
KYMH30JHC,5.3,10.88,79.45,109.04,-3.06,47.3,8.8,-679.9,-673.8,4.9,1.8,60,220
MAHC72OET,5.62,13.46,86.71,109.02,-3.31,30.9,3.5,-735.7,-728.1,5.2,1.8,126,220
TCCQ61EFF,3.72,9.94,72.28,108.78,-1.36,44.1,4.9,-313.4,-298.4,3.4,2.1,128,220
FXCI18WCK,9.36,48.35,81.34,108.63,-5.49,20.0,12.9,-1320.4,-1207.5,8.6,3.1,584,220
EJNQ36YZQ,3.42,11.71,83.78,108.5,-1.96,34.1,0.0,-443.7,-430.9,3.1,1.2,112,220
ZUHQ00LJL,2.0,5.8,91.56,108.49,-1.39,45.0,-4.9,-307.8,-306.1,1.8,0.5,42,220
SUEQ05QGY,3.39,8.36,85.76,108.3,-2.08,42.7,1.5,-456.9,-456.9,3.1,1.1,96,220
ODLY66OLX,0.12,1.15,100.0,108.24,-0.1,7.7,0.0,-23.5,-22.0,0.1,0.0,12,220
ZWPB56MNX,1.3,4.36,97.77,108.22,-1.05,25.9,-11.9,-232.4,-230.0,1.2,0.2,24,220
GDAE31BUB,5.53,19.25,84.76,108.16,-3.14,29.5,0.0,-691.8,-691.6,5.1,2.0,192,220
UMMI66YVH,3.74,9.33,53.01,108.14,-0.74,21.4,-3.9,-196.6,-163.8,3.5,2.7,90,220
YEPB41JWK,1.85,8.82,98.05,108.03,-1.54,28.6,0.7,-339.7,-339.7,1.7,0.2,85,220
OHNH79XLK,2.06,6.86,97.36,107.82,-1.65,40.9,0.0,-362.4,-362.2,1.9,0.3,60,220
TTFA32YEK,4.7,12.99,92.72,107.73,-3.48,40.9,0.2,-765.6,-765.3,4.4,0.9,156,220
GWFP82SET,2.74,20.73,105.28,107.72,-1.76,4.1,0.0,-386.2,-386.2,2.5,0.8,270,220
MWHY10BHE,2.7,6.43,97.97,107.65,-2.23,38.6,0.0,-491.2,-491.1,2.5,0.3,36,220
GRUW68GNK,106.34,297.34,65.32,107.56,-34.72,46.8,0.0,-8204.8,-7637.8,98.9,64.1,3750,220
UORD98SGJ,4.07,9.35,88.65,107.47,-2.75,43.2,0.0,-605.0,-605.0,3.8,1.0,72,220
JURP55TNB,11.23,28.57,68.62,107.42,-4.39,38.6,46.7,-985.6,-965.9,10.5,6.1,270,220
ZOCP84HDB,33.05,362.93,94.74,107.39,-16.14,12.3,1.1,-5379.8,-3549.7,30.8,14.6,5240,220
OEAX95OHC,5.56,55.31,73.89,107.32,-3.54,7.3,22.3,-867.2,-779.2,5.2,1.6,810,220
EXHX97JSF,6.82,19.04,84.24,107.13,-4.03,44.1,1.8,-1012.7,-886.0,6.4,2.3,170,220
CTOP36SPC,0.9,8.18,58.65,107.02,-0.42,3.6,2.1,-142.5,-92.4,0.8,0.4,120,220
YIIU87PEA,0.06,0.81,100.0,106.95,-0.05,3.2,0.0,-12.0,-11.2,0.1,0.0,12,220
YPIR57LYG,0.93,5.98,98.6,106.83,-0.76,10.0,3.4,-177.2,-166.4,0.9,0.1,72,220
KLOI07XSR,3.07,7.03,86.29,106.81,-1.95,42.7,-0.8,-434.1,-427.9,2.9,0.9,48,220
NARO61RJA,2.87,7.96,96.92,106.67,-2.38,35.5,0.0,-522.7,-522.7,2.7,0.3,60,220
SWDT98SLX,9.57,20.5,71.79,106.65,-1.99,46.8,91.8,-520.5,-438.6,9.0,7.0,228,220
QNHR09IRJ,2.04,5.38,97.36,106.61,-1.69,44.5,0.3,-372.8,-372.6,1.9,0.2,36,220
CQMB14NXU,3.16,4.89,74.17,106.44,-1.46,44.1,-2.2,-321.8,-321.8,3.0,1.5,30,220
FSYJ54YAN,5.23,7.71,76.93,106.44,-2.46,49.1,0.7,-546.7,-540.9,4.9,2.5,36,220
INXF14GAZ,7.04,20.85,68.7,106.44,-3.75,32.3,2.7,-872.0,-825.7,6.6,2.9,216,220
YLYH48XYT,22.93,166.69,110.83,106.34,-12.92,50.5,7.0,-2874.3,-2843.3,21.6,8.6,2376,220
JSZC59BLN,2.4,5.1,86.96,106.25,-1.61,39.1,0.0,-366.2,-354.4,2.3,0.6,30,220
RRLE81TIJ,113.68,233.76,63.65,106.19,-27.0,47.7,0.1,-7167.4,-5940.5,107.0,80.0,2400,220
XZFP32TTX,13.75,26.19,59.18,106.14,-4.11,38.6,67.3,-939.1,-905.3,13.0,8.8,195,220
SWDF35OYM,0.58,2.59,70.91,106.09,-0.21,4.1,0.4,-75.3,-45.5,0.5,0.3,30,220
BLHV10HLI,4.19,6.91,90.94,105.9,-3.08,47.3,-5.0,-681.1,-677.1,4.0,0.9,20,220
LVIE94LLN,5.65,9.47,64.15,105.77,-2.03,46.4,-0.5,-454.4,-447.3,5.3,3.3,48,220
KIZY80SQZ,4.4,20.18,75.34,105.76,-2.51,19.5,1.1,-598.0,-553.3,4.2,1.6,255,220
RFIU95FKX,2.13,9.29,82.95,105.73,-1.33,10.0,-12.0,-302.3,-293.7,2.0,0.7,84,220
DYQZ34GHP,1.58,4.96,59.61,105.64,-0.29,9.1,-16.4,-121.0,-63.7,1.5,1.2,40,220
MSBK28GYZ,9.68,92.6,180.87,105.59,-6.36,6.4,0.0,-1610.3,-1399.4,9.2,2.8,1314,220
HTOY37YRT,5.12,9.68,89.51,105.39,-3.78,52.7,0.5,-833.2,-832.1,4.9,1.1,48,220
ODFO56LOB,4.94,29.7,97.5,105.38,-3.11,10.0,0.0,-734.4,-684.4,4.7,1.6,352,220
TYHY95VHF,7.24,9.77,60.32,105.35,-1.6,46.4,16.3,-361.2,-351.1,6.9,5.3,48,220
ZYPW44SXH,64.97,375.53,63.61,105.32,-29.44,7.7,0.0,-7540.4,-6476.9,61.7,32.3,4140,220
JKTK43MJK,3.83,20.59,70.97,105.23,-1.47,9.1,36.2,-391.3,-322.9,3.6,2.2,264,220
NGJM96DON,19.79,86.72,154.58,105.14,13.12,5.5,2885.6,491.6,2885.6,18.8,31.9,960,220
VJFY24YVG,8.02,19.31,85.57,105.03,-4.95,40.9,32.9,-1106.0,-1088.9,7.6,2.7,210,220
LSUN03GBQ,2.09,10.84,81.56,104.95,-1.44,10.0,0.0,-342.5,-316.7,2.0,0.6,102,220
MRKC36JHH,3.12,8.51,83.21,104.88,-1.92,35.0,7.4,-422.3,-422.2,3.0,1.1,80,220
ZZUF86MEV,8.41,22.28,86.71,104.85,-5.88,42.3,2.6,-1297.7,-1292.6,8.0,2.1,216,220
